,attributai,b_cert_af,b_cert_leg,b_cert_tra,created_date,created_user,d_cert_af,d_cert_leg,d_cert_tra,date_amgt,date_attr,date_con_d,date_con_p,desc_type,exploitant,globalid,last_edited_date,last_edited_user,nom_conces,objectid,s_cert_af,statu_amgt,statu_attr,statu_conv,sup_adm_ha,t_cert_af,t_cert_leg,t_cert_tra,type_
64,FIPCAM,,,BV,1509528188000,KENDY,,1394150400000.0,,1103846400000.0,1329091200000.0,,976665600000.0,Concession Forestière,FIPCAM,{3F57361A-80AE-4594-AF7E-708AA0518EFB},1520442078000,KENDIE,1033,717,,amenge,attribue,provisoire,65675.0,,OLB,,4110110
65,DINO&FILS,,,,1509528188000,KENDY,,,,1351728000000.0,,1470009600000.0,1064534400000.0,Concession Forestière,DINO&FILS,{26B3A467-290E-48A4-81D3-CF562EBA586D},1520442079000,KENDIE,1057,713,,amenge,attribue,provisoire,47080.0,,,,4110110
66,SEPFCO,,,,1509528188000,KENDY,,,,1221091200000.0,1132012800000.0,,1132012800000.0,Concession Forestière,SEPFCO,{37702C0B-B688-4B98-A01E-EC81232A7FAC},1520442078000,KENDIE,1075,707,,amenge,attribue,provisoire,73336.0,,,,4110110
67,GRUMCAM,,,,1509528188000,KENDY,,1399420800000.0,,1230076800000.0,1120608000000.0,1286236800000.0,1125964800000.0,Concession Forestière,GRUMCAM,{A858CD2B-0DF2-450E-AB7B-97A2EA80BCD9},1520442078000,KENDIE,1072,706,,amenge,attribue,definitive,82308.0,,OLB,,4110110
68,SFCS,,,,1509528188000,KENDY,,,,1074211200000.0,890956800000.0,,890956800000.0,Concession Forestière,SFCS,{952A2F3D-AA4B-4045-8423-D0728EB80BF2},1520442078000,KENDIE,1007,703,,amenge,attribue,provisoire,57996.0,,,,4110110
69,CIBC,,,RA&BV,1509528188000,KENDY,,1398384000000.0,,1208390400000.0,982195200000.0,,982195200000.0,Concession Forestière,CIBC,{031BF16F-9F54-472F-B99F-C5C4B168F40D},1520442078000,KENDIE,1004,701,,amenge,attribue,provisoire,130273.0,,"OLB, VLC",,4110110
70,ALPICAM,,,,1509528188000,KENDY,,1399420800000.0,,1101427200000.0,971308800000.0,1284422400000.0,971308800000.0,Concession Forestière,ALPICAM,{019F00C2-F5F8-4A99-95A1-D048218613E8},1520442078000,KENDIE,1040,689,,amenge,attribue,definitive,126988.0,,OLB,,4110110
71,CAMTRANS,,,BV,1509528188000,KENDY,,1347494400000.0,,1333238400000.0,1310860800000.0,,1180483200000.0,Concession Forestière,CAMTRANS,{EFB2707F-2CC5-4BA6-80C4-1997D4624352},1520442078000,KENDIE,1062,687,,amenge,attribue,provisoire,63865.0,,OLB,,4110110
72,,,,,1509528188000,KENDY,,,,1351728000000.0,1387238400000.0,,1132012800000.0,Concession Forestière,,{540FFC58-392A-47C3-B3E2-1DC29CCD94C6},1520442078000,KENDIE,1074,650,,amenge,attribue,provisoire,78579.0,,,,4110110
73,SODETRANCAM,BV-FM/COC,,,1509528188000,KENDY,1223510400000.0,1304208000000.0,,1290643200000.0,1292803200000.0,,1001980800000.0,Concession Forestière,SODETRANCAM,{576FE522-89CE-4C04-83D7-D096661BDDDE},1520442078000,KENDIE,1056,683,,amenge,attribue,provisoire,66861.0,FSC,OLB,,4110110
74,PLACAM,,,,1509528188000,KENDY,,,,1101427200000.0,1002844800000.0,,1002844800000.0,Concession Forestière,PLACAM,{E4C44F8B-3770-472F-8C64-CAECCBE49385},1520442078000,KENDIE,1021,679,,amenge,attribue,provisoire,28387.0,,,,4110110
75,SEFAC,,,,1509528188000,KENDY,,1277856000000.0,,1195430400000.0,1002153600000.0,1290988800000.0,1002153600000.0,Concession Forestière,SEFAC,{5C0379BD-6434-4DA4-B589-F619B893FCB4},1520442078000,KENDIE,1052,678,,amenge,attribue,definitive,72727.0,,OLB,,4110110
76,CUF,,,BV,1509528188000,KENDY,,1279756800000.0,,1277424000000.0,1127347200000.0,,1127347200000.0,Concession Forestière,CUF,{8383E564-E8ED-4FE0-AA3A-DEA64353C968},1520442078000,KENDIE,1069,677,,amenge,attribue,provisoire,44866.0,,OLB,,4110110
77,SEFECCAM,,,,1509528188000,KENDY,,,,1277683200000.0,1165276800000.0,,1165276800000.0,Concession Forestière,SEFECCAM,{615DBEFE-F5C2-4DAE-961C-502B158745A9},1520442078000,KENDIE,1089,675,,amenge,attribue,provisoire,47930.0,,,,4110110
78,CFK,BV-FM/COC,,BV,1509528188000,KENDY,1339632000000.0,1250812800000.0,,1242345600000.0,1360195200000.0,,1135209600000.0,Concession Forestière,CFK,{785FFC25-A300-41C8-9800-D272E297DF66},1520442078000,KENDIE,1078,668,,amenge,attribue,provisoire,78461.0,FSC,OLB,,4110110
79,CUF,,,BV,1509528188000,KENDY,,1279756800000.0,,1277424000000.0,1142899200000.0,1324512000000.0,1142899200000.0,Concession Forestière,CUF,{EF0DCD6A-BAA7-4C35-837B-C6B43A981C5F},1520442078000,KENDIE,1081,660,,amenge,attribue,definitive,64461.0,,OLB,,4110110
80,CUF,,,,1516793958000,WRI-CMR,,,,,1462233600000.0,,1423180800000.0,Concession Forestière,CUF,{9E1A5E08-C300-4DA5-BB2E-64D9EFDC7EA6},1520528889000,KENDIE,1128,1157,,en_cours,attribue,,,,,,4110110
81,STBK,,,,1509528188000,KENDY,,,,1343606400000.0,1109721600000.0,1390521600000.0,890956800000.0,Concession Forestière,STBK,{6A9B8923-AACF-41A9-81E1-6FD59273AE74},1520531569000,KENDIE,1003,633,,revise,attribue,definitive,81397.0,,,,4110110
82,,,,,1509528188000,KENDY,,,,1451606400000.0,1346112000000.0,,1360886400000.0,Concession Forestière,,{56AAA560-E1AA-4BBB-BA2F-89B4B6AB4EA0},1520613385000,KENDIE,1098,711,,amenge,attribue,provisoire,77692.0,,,,4110110
83,SCIEB,BV-FM/COC,,BV,1509528188000,KENDY,1349481600000.0,1329350400000.0,,1506556800000.0,890956800000.0,,890956800000.0,Concession Forestière,SCIEB,{B50DC9AE-BD8F-4D7D-9DC5-2AB598816EB5},1521556238000,KENDIE,1011,642,,revise,attribue,definitive,88148.0,FSC,OLB,,4110110
84,SFIL,SW-FM/COC,,,1509528188000,KENDY,1263859200000.0,,,1359417600000.0,1127433600000.0,1292457600000.0,1002153600000.0,Concession Forestière,SFIL,{3150E85F-DA1A-42DE-BE76-27C96EDCBC52},1520615869000,KENDIE,1058,686,,amenge,attribue,definitive,69008.0,FSC,,,4110110
85,LA ROSIERE,,,,1509528188000,KENDY,,,,1436227200000.0,1346112000000.0,,1359936000000.0,Concession Forestière,LA ROSIERE,{316DD330-2DFF-4E49-B65B-BBE107348E5C},1520613967000,KENDIE,1042,645,,revise,attribue,provisoire,52186.0,,,,4110110
86,,,,,1509528188000,KENDY,,,,1101427200000.0,1002585600000.0,,1002585600000.0,Concession Forestière,SCTB,{073FF2D0-0B4A-4DFC-BDCC-76F1A96190AA},1527776411000,KENDIE,1046,676,,amenge,attribue,provisoire,163533.0,,,,4110110
87,SN COCAM,,,,1509528188000,KENDY,,,,1294185600000.0,962409600000.0,,979171200000.0,Concession Forestière,SN COCAM,{0B6884F0-C406-4A11-A2FA-4FBC0988B553},1527776123000,KENDIE,1035,750,,amenge,attribue,provisoire,40368.0,,,,4110110
88,MMG,,,,1509528188000,KENDY,,1356048000000.0,,1451606400000.0,962409600000.0,,972000000000.0,Concession Forestière,CFK,{92F3418E-EBE2-466E-8876-717625C04A25},1527776834000,KENDIE,1028,690,,revise,attribue,provisoire,125568.0,,VLC,,4110110
89,,,,,1515594961000,KENDIE,,,,1128124800000.0,1420070400000.0,976924800000.0,971136000000.0,Concession Forestière,,{1D5DBD6C-FEC4-4C60-8740-F746E07544BC},1527776581000,KENDIE,1048,757,,revise,attribue,definitive,68916.0,,,,4110110
